user_id,skill_id
1,6
1,3
2,2
2,6
2,9
2,4
2,1
2,8
2,3
3,6
3,1
3,3
4,8
4,1
4,6
4,3
4,5
5,9
5,11
5,13
5,7
5,2
5,4
6,11
6,3
6,2
6,4
6,13
6,10
7,4
7,3
7,12
7,10
7,13
7,11
7,2
8,12
8,3
9,2
9,18
9,16
9,4
9,17
9,15
9,14
10,7
10,16
10,17
10,3
10,8
10,2
10,14
10,4
11,16
11,15
11,9
11,18
12,16
12,9
12,14
13,2
13,3
13,6
13,8
13,9
14,4
14,3
14,9
14,15
14,6
14,8
14,7
14,2
15,9
15,4
15,3
15,15
16,4
16,3
16,2
17,19
17,20
18,4
18,9
18,17
18,21
19,19
19,21
19,9
19,20
19,8
19,2
19,17
19,4
19,3
20,4
20,2
20,21
20,19
20,20
21,4
21,23
21,3
22,3
22,9
22,2
23,3
23,4
23,22
23,7
23,8
23,23
23,2
24,3
24,7
24,22
24,23
24,9
24,4
24,8
24,2
25,9
25,3
25,24
26,19
26,9
26,7
26,4
26,3
26,2
26,24
27,2
27,3
28,24
28,19
28,8
28,2
28,7
28,3
28,4
29,19
29,26
29,2
29,25
30,3
30,2
30,19
30,10
30,7
30,26
31,7
31,2
31,4
31,3
31,25
32,19
32,4
32,25
33,21
33,7
33,19
33,3
33,8
33,4
33,2
33,27
34,8
34,3
34,19
34,4
34,2
34,27
34,7
35,27
35,8
36,21
36,4
36,9
36,7
36,2
36,3
36,27
36,19
36,8
37,4
37,28
37,7
37,3
37,19
37,2
38,4
38,3
38,28
39,7
39,19
39,2
39,28
39,4
39,8
39,3
39,9
40,2
40,3
40,4
40,19
