user_id,skill_id
121,5
121,47
122,5
122,47
123,5
123,47
124,5
124,47
125,5
125,29
126,29
126,5
127,29
127,5
128,29
128,5
129,59
129,5
130,59
130,5
131,5
131,59
132,5
132,59
133,5
133,62
134,5
134,62
135,62
135,5
136,62
136,5
137,30
137,5
138,5
138,30
139,5
139,30
140,5
140,30
141,5
141,67
142,67
142,5
143,67
143,5
144,5
144,67
145,5
145,50
146,5
146,50
147,5
147,50
148,5
148,50
149,72
149,5
150,72
150,5
151,5
151,72
152,5
152,72
153,5
153,30
154,30
154,5
155,5
155,30
156,30
156,5
157,5
157,29
158,5
158,29
159,5
159,29
160,29
160,5
