user_id,skill_id
41,3
41,29
41,2
41,5
41,7
41,31
41,30
42,5
42,30
42,31
43,29
43,32
43,2
43,7
44,2
44,5
44,29
45,2
45,30
45,5
45,34
45,29
46,29
46,33
46,34
47,2
47,3
47,33
47,5
47,30
48,34
48,5
48,7
48,3
48,33
48,29
48,30
48,2
49,35
49,7
49,37
49,30
49,36
49,5
49,2
50,30
50,3
50,37
51,7
51,30
51,35
51,3
51,2
51,36
51,37
52,36
52,30
52,35
53,38
53,5
53,32
54,3
54,7
54,5
54,39
54,32
55,38
55,32
55,5
55,39
56,32
56,38
56,5
57,31
57,3
57,30
57,5
57,40
58,3
58,5
59,31
59,5
60,30
60,31
60,5
60,2
60,40
61,41
61,29
61,7
61,2
62,5
62,42
63,5
63,41
64,3
64,7
65,7
65,44
65,43
65,30
65,5
65,2
65,3
66,44
66,7
66,43
67,7
67,43
67,3
67,2
68,5
68,43
68,30
68,44
69,3
69,29
69,45
69,2
70,45
70,5
71,45
71,29
71,5
72,2
72,5
72,29
72,45
73,29
73,2
73,5
73,33
73,46
74,33
74,5
74,46
75,5
75,29
75,33
75,7
75,2
76,33
76,5
76,29
76,46
77,5
77,47
78,30
78,47
78,5
79,3
79,32
80,30
80,32
