user_id,skill_id
81,48
81,7
81,2
81,3
82,2
82,5
82,3
82,48
83,5
83,29
84,48
84,29
84,3
85,19
85,50
85,29
85,5
85,7
85,49
85,32
86,5
86,32
86,29
86,19
87,5
87,29
87,32
87,19
88,32
88,19
89,51
89,50
90,50
90,5
90,7
90,52
90,51
91,52
91,36
91,49
91,50
92,36
92,5
92,52
92,49
93,30
93,35
94,5
94,50
94,49
94,7
94,30
94,51
94,35
95,35
95,30
95,5
96,35
96,5
97,2
97,3
98,3
98,48
98,5
98,2
99,3
99,30
100,30
100,3
101,29
101,21
102,32
102,50
103,5
103,32
103,21
104,29
104,5
104,32
105,5
105,36
105,54
105,50
105,53
106,49
106,36
106,53
106,5
106,54
107,53
107,5
108,49
108,50
108,54
109,55
109,30
109,5
109,49
110,56
110,50
110,49
110,55
111,50
111,7
111,56
111,5
112,56
112,30
113,3
113,35
113,7
113,5
113,50
113,49
114,35
114,5
114,3
114,2
114,7
115,5
115,35
115,3
116,2
116,35
117,50
117,52
117,51
117,30
117,7
117,49
117,5
118,7
118,5
118,52
118,30
118,51
118,49
118,50
119,52
119,5
119,30
119,51
119,49
120,7
120,52
120,5
120,30
120,51
